X,Y,Comuna,Interseccion,Numero,Fallecidos
-70.57265171010818,-33.61146057634436,PUENTE ALTO,1,0,0
-70.58296127993907,-33.57410307489691,PUENTE ALTO,1,0,0
-70.59750149128664,-33.58140567157387,PUENTE ALTO,1,0,0
-70.59930554671028,-33.581661928259614,PUENTE ALTO,0,1503,0
-70.59057940553838,-33.60461740921356,PUENTE ALTO,1,0,0
-70.5932374660361,-33.62894603103435,PUENTE ALTO,1,0,0
-70.57596974620668,-33.61060393792126,PUENTE ALTO,0,18,0
-70.62338879040416,-33.61417570382012,PUENTE ALTO,0,3695,0
-70.58599592825382,-33.61538440998947,PUENTE ALTO,1,0,0
-70.55185723772121,-33.57924810801365,PUENTE ALTO,1,0,0
-70.55408494476433,-33.425448622855626,LAS CONDES,1,0,0
-70.56964601559145,-33.40228841239934,LAS CONDES,1,0,0
-70.52334334640459,-33.37950309980932,LAS CONDES,1,0,0
-70.56044198152162,-33.41712716247573,LAS CONDES,1,0,0
-70.5937259666774,-33.41729463950412,LAS CONDES,1,0,0
-70.54150794639537,-33.3907052600908,LAS CONDES,1,0,0
-70.53318626809362,-33.38828768323821,LAS CONDES,1,0,0
-70.5688143076262,-33.42074615763285,LAS CONDES,1,0,0
-70.54531264758319,-33.38887677207394,LAS CONDES,0,9001,0
-70.55817165160525,-33.42146200964241,LAS CONDES,1,0,0
-70.54334152565467,-33.416993920417994,LAS CONDES,1,0,0
-70.55313183786399,-33.41834878646727,LAS CONDES,1,0,0
-70.50384759848782,-33.392572329849095,LAS CONDES,1,0,0
-70.51519006397024,-33.40268478447517,LAS CONDES,1,0,0
-70.51642886584114,-33.4057821646951,LAS CONDES,1,0,0
-70.54627043783029,-33.40803620750484,LAS CONDES,0,8255,0
-70.54744252185978,-33.42956866086624,LAS CONDES,1,0,0
-70.56376189785952,-33.430879037073964,LAS CONDES,1,0,0
-70.5532047269144,-33.420351915056315,LAS CONDES,1,0,0
-70.53398401577539,-33.416176531108434,LAS CONDES,1,0,0
-70.50979232861248,-33.397584083488105,LAS CONDES,1,0,0
-70.56684131717287,-33.412500285659526,LAS CONDES,1,0,0
-70.53102514710466,-33.40114773041972,LAS CONDES,0,9771,0
-70.52564587539442,-33.39457610002711,LAS CONDES,0,10500,0
-70.60805525295883,-33.43623760199672,PROVIDENCIA,1,0,0
-70.60897835736517,-33.42407251083757,PROVIDENCIA,1,0,0
-70.6328379563015,-33.439683360488544,PROVIDENCIA,1,0,0
-70.60138836081096,-33.44279004052838,PROVIDENCIA,1,0,0
-70.60495404243186,-33.4222691297963,PROVIDENCIA,1,0,0
-70.6107885,-33.4203593,PROVIDENCIA,1,0,0
-70.62450951869931,-33.430187293708585,PROVIDENCIA,1,0,0
-70.61774721855915,-33.427746131678475,PROVIDENCIA,1,0,0
-70.62291465348204,-33.44573867677127,PROVIDENCIA,1,0,0
-70.61391995214404,-33.42205927861278,PROVIDENCIA,0,195,0
-70.5931159,-33.42767340000001,PROVIDENCIA,0,2904,0
-70.6031558658504,-33.44314958118804,PROVIDENCIA,1,0,0
-70.60774473099495,-33.41717030358269,PROVIDENCIA,0,2447,0
-70.61969464713155,-33.433735937360495,PROVIDENCIA,1,0,0
-70.6353769326144,-33.43569086803152,PROVIDENCIA,1,0,0
-70.6001184178715,-33.436899419741344,PROVIDENCIA,0,2435,0
-70.60306814461576,-33.439714727349205,PROVIDENCIA,1,0,0
-70.61602676613616,-33.41830471035851,PROVIDENCIA,1,0,0
-70.6238719,-33.44584750000001,PROVIDENCIA,0,536,0
-70.60950498894142,-33.42270931072358,PROVIDENCIA,1,0,0
-70.6080535227504,-33.43624042733566,PROVIDENCIA,1,0,0
-70.61122030337424,-33.42026471294612,PROVIDENCIA,1,0,0
-70.78056074580414,-33.50829011115426,MAIPU,0,1688,0
-70.75732731789908,-33.50696918037712,MAIPU,1,0,0
-70.7589004,-33.511664,MAIPU,0,1750,0
-70.78149985713657,-33.5324421213224,MAIPU,0,1974,0
-70.7440659710488,-33.479957248543315,MAIPU,1,0,0
-70.77161420593069,-33.53655864486543,MAIPU,1,0,0
