X,Y,Anio,Comuna,Calle1,Calle2,Numero,Interseccion,Fallecidos,Graves,MenosGraves,Leves
-70.69053247239566,-33.57414151282051,2013,EL BOSQUE,GRAN AVENIDA JOSE MIGUEL CARRERA,LO MORENO,0,1,0,0,0,1
-70.68715469793091,-33.57836151677055,2013,EL BOSQUE,LO BLANCO,PEDRO DE MENDOZA,0,1,0,0,0,3
-70.68627379220169,-33.568404983003525,2013,EL BOSQUE,CENTRAL,GRAN AVENIDA JOSE MIGUEL CARRERA,0,1,0,0,1,0
-70.68522876649433,-33.57910019651683,2013,EL BOSQUE,LO BLANCO,FRANCISCO DE CAMARGO,0,1,0,0,1,1
-70.68276458901454,-33.56399246208242,2013,EL BOSQUE,GRAN AVENIDA JOSE MIGUEL CARRERA,CLAUDIO ARRAU,0,1,0,0,0,1
-70.68172206342246,-33.57150963516149,2013,EL BOSQUE,LOS CIPRESES,LOS CAROLINOS,0,1,0,0,0,1
-70.68062285805843,-33.57671895181811,2013,EL BOSQUE,SANTA CRUZ,CHEPICA,0,1,0,0,0,1
-70.67856361651764,-33.56515311902121,2013,EL BOSQUE,CLAUDIO ARRAU,MOZART,0,1,0,1,0,0
-70.6745320574085,-33.5660339923748,2013,EL BOSQUE,CLAUDIO ARRAU,SAN FLORENCIO,0,1,0,0,0,1
-70.67359312562223,-33.57131761731415,2013,EL BOSQUE,LO MARTINEZ,LOS MORROS,0,1,0,2,0,0
-70.67338445143128,-33.57088319440385,2013,EL BOSQUE,LOS MORROS,LOS CIERVOS,0,1,0,2,0,1
-70.6728844436621,-33.56884560314206,2013,EL BOSQUE,LOS MORROS,EL LIBERTADOR,0,1,0,0,1,0
-70.67267250043551,-33.574655100352565,2013,SANTIAGO,COQUIMBO,,650,0,0,0,0,0
-70.67223401528753,-33.56646186102602,2013,EL BOSQUE,LOS MORROS,EL CONQUISTADOR,0,1,0,0,0,1
-70.67201761771884,-33.56592370221704,2013,EL BOSQUE,LOS MORROS,LAS PERDICES,0,1,0,1,0,0
-70.67003562884116,-33.571929892850214,2013,EL BOSQUE,LO MARTINEZ,,1070,0,0,0,0,1
-70.66728356668324,-33.573788190772355,2013,EL BOSQUE,YUMBEL,TEMUCO,0,1,0,0,0,1
-70.66694423538809,-33.568249015379706,2013,EL BOSQUE,LOS RAULIES,,11467,0,0,0,0,1
-70.66690680200725,-33.57385639355767,2013,EL BOSQUE,QUILLECO,TEMUCO,0,1,0,0,0,1
-70.79693414419535,-33.522744401732744,2013,MAIPU,EL CONQUISTADOR,LA CASTELLANA,0,1,0,0,1,0
-70.79347932571028,-33.5318825245588,2013,MAIPU,ALFREDO SILVA CARVALLO,4 PONIENTE,0,1,0,0,0,1
-70.79190745736321,-33.524896810339506,2013,MAIPU,NUEVA SAN MARTIN,4 PONIENTE,0,1,0,0,0,1
-70.79019369668174,-33.53864500366393,2013,MAIPU,PRESIDENTE GABRIEL GONZALEZ VIDELA,LOS VILOS,0,1,0,1,0,0
-70.78807072468413,-33.52606504316714,2013,MAIPU,GERMAN GARCES,LAS TACAS ORIENTE,0,1,0,0,0,1
-70.78633310678742,-33.535820348230445,2013,MAIPU,PRESIDENTE GABRIEL GONZALEZ VIDELA,CABO DE HORNOS,0,1,0,0,0,1
-70.77924433206022,-33.52453416951625,2013,MAIPU,3 PONIENTE,NUEVA SAN MARTIN,0,1,0,0,1,0
-70.77822675186309,-33.54228541344104,2013,MAIPU,CAMINO A MELIPILLA,EGIPTO,0,1,1,0,0,0
-70.77716891531315,-33.52239600077482,2013,MAIPU,CAROLINA SAN MARTIN,LOS ANGLICANOS,0,1,0,0,0,1
-70.7754014534143,-33.5245524743172,2013,MAIPU,NUEVA SAN MARTIN,EL OLIMPO,0,1,0,0,0,1
-70.7753363326056,-33.52151438188315,2013,MAIPU,SUR,EL OLIMPO,0,1,0,0,1,0
-70.77482870128352,-33.5315204835834,2013,MAIPU,3 PONIENTE,ALFREDO SILVA CARVALLO,0,1,0,0,0,1
-70.77267370262922,-33.53022324390752,2013,MAIPU,EL OLIMPO,ALFREDO SILVA CARVALLO,0,1,0,0,0,1
-70.76911408254881,-33.5281740397001,2013,MAIPU,ALFREDO SILVA CARVALLO,,520,0,0,0,1,0
-70.76689034691196,-33.52475978603525,2013,MAIPU,LOS CESARES,,773,0,0,0,0,1
-70.79641570032425,-33.50491479987807,2013,SANTIAGO,LIBERTADOR BERNARDO OHIGGINS,,3039,0,0,0,0,1
-70.79626792822228,-33.50682972541148,2013,MAIPU,LA GALAXIA,CAMINO A RINCONADA,0,1,0,0,0,2
-70.79617610024678,-33.504861300108885,2013,SANTIAGO,LIBERTADOR BERNARDO OHIGGINS,,2085,0,0,1,0,2
-70.79138884262096,-33.50550465081893,2013,MAIPU,CAMINO A RINCONADA,4 PONIENTE,0,1,0,0,0,1
-70.79129952735127,-33.519193564431426,2013,MAIPU,PORTALES,4 PONIENTE,0,1,0,0,0,1
-70.79082915044489,-33.513232730206305,2013,MAIPU,AGUA SANTA,4 PONIENTE,0,1,0,0,0,2
-70.78634031575291,-33.506263986193986,2013,MAIPU,PANGAL,,2051,0,0,1,0,0
-70.78292630850228,-33.50598352272136,2013,MAIPU,LOS PRUSIANOS,,2417,0,0,0,1,0
-70.78255752261151,-33.518309172929946,2013,MAIPU,SIGLO XX,PORTALES,0,1,0,0,0,2
-70.77927591625047,-33.50856320372885,2013,MAIPU,CAMINO A RINCONADA,3 PONIENTE,0,1,0,0,0,2
-70.77917034033891,-33.51824443882976,2013,MAIPU,3 PONIENTE,PORTALES,0,1,0,0,0,1
-70.77916911096565,-33.51773028382548,2013,MAIPU,3 PONIENTE,ANGOSTURA,0,1,0,0,0,2
-70.77912482205284,-33.51163949486677,2013,MAIPU,3 PONIENTE,JOSE MANUEL BORGONO,0,1,0,0,2,1
-70.77554592140712,-33.50934619397161,2013,MAIPU,EL OLIMPO,CAMINO A RINCONADA,0,1,1,0,0,2
-70.77549803970271,-33.51195501930864,2013,MAIPU,EL OLIMPO,JOSE MANUEL BORGONO,0,1,0,0,0,1
-70.77546579630939,-33.51291558608539,2013,MAIPU,EL OLIMPO,GRECIA,0,1,0,0,0,2
-70.77539024696227,-33.518109095358405,2013,MAIPU,PORTALES,EL OLIMPO,0,1,0,0,0,1
-70.76907023790113,-33.51160316855136,2013,MAIPU,PADRE HURTADO,JOSE MANUEL BORGONO,0,1,0,0,0,1
-70.77562207869596,-33.502689745835085,2013,MAIPU,EL OLIMPO,LIBERTADOR BERNARDO OHIGGINS,0,1,0,0,0,1
-70.77489248749828,-33.497919348698936,2013,MAIPU,EL OLIMPO,,3205,0,0,0,0,1
-70.763536227315,-33.51241024443722,2013,MAIPU,DEL PONTIFICE,EL CARMEN,0,1,0,0,0,1
-70.76088103653058,-33.5254091127403,2013,MAIPU,NUEVA SAN MARTIN,LEOPOLDO INFANTE,0,1,0,0,0,1
-70.75992156063148,-33.51065887230909,2013,MAIPU,MANUEL RODRIGUEZ,5 DE ABRIL,0,1,0,0,0,1
-70.75884710011354,-33.50965560032564,2013,MAIPU,MONUMENTO,,1950,0,0,0,0,2
-70.75882619627191,-33.5117310395558,2013,MAIPU,CARMEN LUISA CORREA,MONUMENTO,0,1,0,0,0,1
-70.7573609461507,-33.51332096539023,2013,MAIPU,LOS PAJARITOS,BELARMINO OSORIO,0,1,0,0,0,1
-70.75736024737745,-33.51062460364251,2013,MAIPU,LOS PAJARITOS,5 DE ABRIL,0,1,0,0,0,2
-70.75569699532002,-33.510646463463495,2013,MAIPU,5 DE ABRIL,ALBERTO LLONA,0,1,0,0,0,1
-70.75319391406782,-33.51060727550533,2013,MAIPU,5 DE ABRIL,PRIMERA TRANSVERSAL,0,1,0,0,0,2
-70.75040088059615,-33.51608885471683,2013,MAIPU,4 ALAMOS,LAS ACACIAS,0,1,0,0,0,1
-70.7473556934105,-33.51339039305213,2013,MAIPU,SEGUNDA TRANSVERSAL,JOSE MANUEL IRARRAZAVAL,0,1,0,0,0,1
-70.74722234913207,-33.51038928613661,2013,MAIPU,SEGUNDA TRANSVERSAL,5 DE ABRIL,0,1,0,0,0,1
-70.76261044001973,-33.489044781191645,2013,MAIPU,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ,LA SINFONIA,0,1,0,0,0,3
-70.76191993425755,-33.503634024090914,2013,MAIPU,HERMANOS CARRERA,CHILE,0,1,0,0,0,1
-70.75751119858289,-33.49858104737741,2013,MAIPU,ARGENTINA,LOS PAJARITOS,0,1,0,0,0,0
-70.75741383617958,-33.500280227350565,2013,MAIPU,CENTRAL GONZALO PEREZ LLONA,LOS PAJARITOS,0,1,0,0,0,1
-70.7573367399985,-33.495229678806595,2013,MAIPU,LOS PAJARITOS,,3476,0,0,0,0,1
-70.75733476328867,-33.50552079364969,2013,MAIPU,LOS PAJARITOS,TRISTAN VALDES,0,1,0,0,0,2
-70.75138131879277,-33.49630757113745,2013,MAIPU,PRIMERA TRANSVERSAL,RAFAEL RIESCO BERNALES,0,1,0,0,0,1
-70.74991910838008,-33.49874505404096,2013,MAIPU,PRESIDENTE GERMAN RIESCO,EL GRECO,0,1,0,0,0,0
-70.74640255323521,-33.50548604294649,2013,MAIPU,SEGUNDA TRANSVERSAL,LUIS GANDARILLAS,0,1,0,0,0,1
-70.74578489705533,-33.505215779584496,2013,MAIPU,4 PONIENTE,AGUA SANTA,0,1,0,0,0,4
-70.74577697312878,-33.500868628584264,2013,MAIPU,SEGUNDA TRANSVERSAL,CENTRAL GONZALO PEREZ LLONA,0,1,0,0,0,1
-70.74456828699681,-33.498310864954426,2013,MAIPU,AMERICO VESPUCIO,SEGUNDA TRANSVERSAL,0,1,0,0,0,2
-70.742721039944,-33.49046402649362,2013,MAIPU,LOS TRABAJADORES,SEGUNDA TRANSVERSAL,0,1,0,0,0,1
-70.739150951755,-33.50425050395758,2013,MAIPU,CENTRAL GONZALO PEREZ LLONA,,134,0,0,0,0,0
-70.73837260471191,-33.487470216677146,2013,MAIPU,LOS MINISTROS,LAS GOLONDRINAS,0,1,0,0,0,2
-70.73586155816434,-33.4928280383832,2013,MAIPU,LUMEN,PRIMO DE RIVERA,0,1,0,0,0,1
-70.73542752645915,-33.504116260357094,2013,CERRILLOS,LAS TORRES,AMERICO VESPUCIO,0,1,0,0,0,1
-70.70987276081921,-33.553335607352395,2013,SAN BERNARDO,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ,GENERAL VELASQUEZ,0,1,0,1,0,0
-70.70257529931058,-33.532785210968655,2013,LO ESPEJO,GABRIELA MISTRAL,LO ESPEJO,0,1,0,1,0,0
-70.7025527461123,-33.536668151713805,2013,SAN BERNARDO,LAGO LLANQUIHUE,,285,0,0,0,0,1
-70.69866505245017,-33.52391196096818,2013,LO ESPEJO,CENTRAL,AMERICO VESPUCIO,0,1,0,0,0,1
-70.6966031219365,-33.56112516979073,2013,SAN BERNARDO,OCHAGAVIA,LAS ACACIAS,0,1,0,0,0,1
-70.69641598381054,-33.52763474774536,2013,LO ESPEJO,9 DE ENERO,LEON DE LA BARRA,0,1,0,0,0,1
-70.68542403359226,-33.55268373016996,2013,EL BOSQUE,RENGO,EL PILLAN,0,1,0,0,0,1
-70.68361974085832,-33.54699985296084,2013,EL BOSQUE,ANTONIO BORQUEZ DEL SOLAR,VICTOR PLAZA MAYORGA,0,1,0,0,1,0
-70.67712260582357,-33.556850953808414,2013,EL BOSQUE,GRAN AVENIDA JOSE MIGUEL CARRERA,,10520,0,0,1,0,0
-70.67498790037126,-33.554025399952195,2013,EL BOSQUE,GRAN AVENIDA JOSE MIGUEL CARRERA,,10375,0,1,0,0,0
-70.67443684528416,-33.55355346362142,2013,EL BOSQUE,GRAN AVENIDA JOSE MIGUEL CARRERA,ALEJANDRO GUZMAN,0,1,0,0,0,1
-70.67369509974901,-33.55263300031264,2013,EL BOSQUE,GRAN AVENIDA JOSE MIGUEL CARRERA,,10078,0,0,0,0,1
-70.67366947896323,-33.552438703583285,2013,EL BOSQUE,LUIS BARROS BORGONO,GRAN AVENIDA JOSE MIGUEL CARRERA,0,1,0,1,0,0
-70.67194669988027,-33.55042519976313,2013,EL BOSQUE,GRAN AVENIDA JOSE MIGUEL CARRERA,,9874,0,0,0,1,0
-70.66849459105248,-33.55509862929824,2013,EL BOSQUE,ALEJANDRO GUZMAN,,495,0,0,0,0,1
-70.66818317651233,-33.55205155353635,2013,EL BOSQUE,LOS MORROS,LOS AVIADORES,0,1,0,0,1,0
-70.66817818707364,-33.54550331002969,2013,LA CISTERNA,GRAN AVENIDA JOSE MIGUEL CARRERA,LO ESPEJO,0,1,0,1,0,0
-70.6673603247192,-33.5487981013513,2013,EL BOSQUE,LOS MORROS,ESPERANZA,0,1,0,0,0,1
-70.66734014213381,-33.543288113455624,2013,LA CISTERNA,TRINIDAD RAMIREZ,LOS FRANCISCANOS,0,1,0,1,0,0
-70.68209929034992,-33.53499275701007,2013,LA CISTERNA,GOYCOLEA,,338,0,0,0,0,1
-70.68155598651953,-33.53382243235934,2013,LA CISTERNA,OSSA,CAPRICORNIO,0,1,0,0,0,1
-70.67662976205384,-33.5310879150752,2013,LA CISTERNA,TOLTEN,,8683,0,0,1,0,0
-70.67650225257688,-33.528147267782124,2013,LA CISTERNA,LETRAS,FRANCIA,0,1,0,1,0,0
-70.67454710306629,-33.532486571298215,2013,LA CISTERNA,RIO DE JANEIRO,INDUSTRIA,0,1,0,0,0,1
-70.67076836946467,-33.5397855814394,2013,LA CISTERNA,INES RIVAS,LOS AROMOS,0,1,0,0,0,1
-70.73122768351072,-33.51006616512138,2013,MAIPU,5 DE ABRIL,,207,0,0,0,0,1
-70.73116496119394,-33.510065174967785,2013,MAIPU,5 DE ABRIL,,285,0,0,0,0,1
-70.73071463737057,-33.511513848785064,2013,MAIPU,ESQUINA BLANCA,LOS TILOS,0,1,0,0,1,0
-70.7292637224428,-33.51003084065077,2013,MAIPU,5 DE ABRIL,,620,0,0,0,0,1
-70.72836579974182,-33.51173429959822,2013,MAIPU,ESQUINA BLANCA,,1490,0,1,0,0,0
-70.72776670826693,-33.51195589524833,2013,MAIPU,CAMINO A MELIPILLA,,8895,0,0,0,0,1
-70.71760741874732,-33.50295693441497,2013,CERRILLOS,DON ORIONE,,7363,0,0,0,0,1
-70.70160941394329,-33.516640602281946,2013,LO ESPEJO,PRESIDENTE EDUARDO FREI MONTALVA,CERRILLOS,0,1,0,1,0,0
-70.69843079434565,-33.5236257661162,2013,LO ESPEJO,CENTRAL,,7672,0,0,0,0,1
-70.69834566002413,-33.50974322936652,2013,LO ESPEJO,CERRILLOS,,7064,0,0,0,0,1
-70.69691196441556,-33.50820303963854,2013,LO ESPEJO,6 PONIENTE,7 SUR,0,1,0,1,0,0
-70.69648105875382,-33.511220976466866,2013,LO ESPEJO,PIO XII,13 SUR,0,1,0,0,0,1
-70.69485718890809,-33.522078917807804,2013,LO ESPEJO,GUADALUPE,SATURNO,0,1,0,1,0,1
-70.6924616656733,-33.52101058437092,2013,LO ESPEJO,PRESIDENTE EDUARDO FREI MONTALVA,,3224,0,0,0,0,1
-70.69212049976119,-33.50629885021175,2013,LO ESPEJO,CENTRAL,BUENAVENTURA,0,1,0,0,0,1
-70.69087373903182,-33.51543273813031,2013,LO ESPEJO,PRESIDENTE SALVADOR ALLENDE,4 ORIENTE,0,1,1,0,0,0
-70.69053617940114,-33.51419707773289,2013,LO ESPEJO,VERACRUZ,15 SUR,0,1,0,0,0,2
-70.68612147852338,-33.50840451565585,2013,LO ESPEJO,BUENAVENTURA,MAIPU,0,1,0,1,0,0
-70.68607248615626,-33.516262538085634,2013,LO ESPEJO,CLOTARIO BLEST,PRESIDENTE SALVADOR ALLENDE,0,1,0,0,0,1
-70.68553243337504,-33.513886514850725,2013,LO ESPEJO,CLOTARIO BLEST,LUCILA GODOY,0,1,0,1,2,0
-70.68286130570465,-33.50626646022893,2013,PEDRO AGUIRRE CERDA,LO OVALLE,CLOTARIO BLEST,0,1,1,1,0,0
-70.68161421492402,-33.50939759562248,2013,LO ESPEJO,PASAJE 45,PASAJE 39,0,1,0,0,0,1
-70.67670451999754,-33.50510672329659,2013,PEDRO AGUIRRE CERDA,CLUB HIPICO,,5065,0,1,0,0,0
-70.67465011860804,-33.52172634669352,2013,LA CISTERNA,EL PARRON,,272,0,0,1,0,0
-70.67280169973861,-33.51000460023211,2013,PEDRO AGUIRRE CERDA,LO OVALLE,,1625,0,0,0,0,1
-70.66997014920298,-33.523449121279896,2013,LA CISTERNA,EL PARRON,COLON,0,1,0,1,0,0
-70.69004660826431,-33.5020961995799,2013,PEDRO AGUIRRE CERDA,CENTRAL,CALBUCO,0,1,0,0,0,1
-70.68925067947528,-33.500471037408445,2013,PEDRO AGUIRRE CERDA,UNION FERROVIARIA,CENTRAL,0,1,0,0,0,1
-70.68795308636578,-33.49782837687803,2013,PEDRO AGUIRRE CERDA,CENTRAL,10 NORTE,0,1,0,1,0,0
-70.68290720260529,-33.49713089687332,2013,PEDRO AGUIRRE CERDA,MAIPU,PLANO REGULADOR,0,1,0,0,0,1
-70.67918062338703,-33.49813504929308,2013,PEDRO AGUIRRE CERDA,TEMISTOCLES,,5581,0,0,0,0,1
-70.68851274976356,-33.48859608064459,2013,PEDRO AGUIRRE CERDA,CERRILLOS,,4030,0,0,0,2,4
-70.6872610481588,-33.48868619900883,2013,PEDRO AGUIRRE CERDA,CENTRAL,JAMAICA,0,1,0,0,0,1
-70.68681127651917,-33.48624984295582,2013,PEDRO AGUIRRE CERDA,DEPARTAMENTAL,CENTRAL,0,1,0,1,0,0
-70.68502099162544,-33.487383766647504,2013,PEDRO AGUIRRE CERDA,DEPARTAMENTAL,ANITA LIZANA,0,1,1,0,0,0
-70.68412808174554,-33.4882318264376,2013,PEDRO AGUIRRE CERDA,DEPARTAMENTAL,HAITI,0,1,0,1,0,1
-70.68381439371927,-33.48839421522082,2013,PEDRO AGUIRRE CERDA,DEPARTAMENTAL,,1950,0,0,1,0,0
-70.68052026070143,-33.49078882294577,2013,PEDRO AGUIRRE CERDA,DEPARTAMENTAL,BUENAVENTURA,0,1,0,1,0,0
-70.67892392360017,-33.49249856635571,2013,PEDRO AGUIRRE CERDA,DEPARTAMENTAL,PASEO GROHNERT,0,1,0,0,0,1
-70.67744211875873,-33.49599277514642,2013,PEDRO AGUIRRE CERDA,CLOTARIO BLEST,DEPARTAMENTAL ANTIGUO,0,1,0,2,0,0
-70.67728323463353,-33.48965401881787,2013,PEDRO AGUIRRE CERDA,GALO GONZALEZ,30 DE OCTUBRE,0,1,0,0,0,1
