X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Fallecidos,Graves,Menos_Grav,Leves
-70.775674579318206,-33.506801291546203,45,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190950,EL OLIMPO,131192152,MAIPU, ,EL OLIMPO - MAIPU,EL OLIMPO @ MAIPU,0,0,0,1
-70.775603244194201,-33.508200088962766,46,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190950,EL OLIMPO,131191335,HNOS CARDEMIL, ,EL OLIMPO - HNOS CARDEMIL,EL OLIMPO @ HNOS CARDEMIL,0,0,0,1
-70.775465796309277,-33.512915586085292,47,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190950,EL OLIMPO,131191264,GRECIA, ,EL OLIMPO - GRECIA,EL OLIMPO @ GRECIA,0,0,0,1
-70.77540145341419,-33.524552474317098,48,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190950,EL OLIMPO,131192375,NVA SAN MARTIN, ,EL OLIMPO - NVA SAN MARTIN,EL OLIMPO @ NVA SAN MARTIN,0,0,0,1
-70.775336332605491,-33.521514381883051,49,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190950,EL OLIMPO,131192995,SUR, ,EL OLIMPO - SUR,EL OLIMPO @ SUR,0,0,1,0
-70.775227398625418,-33.499839092799732,50,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190227,ASUNCION,131190950,EL OLIMPO, ,ASUNCION - EL OLIMPO,ASUNCION @ EL OLIMPO,1,0,0,1
-70.774773066523665,-33.489257554492397,51,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190976,EL ROSAL,131190408,CAMINO LA FARFANA, ,CAMINO LA FARFANA - EL ROSAL,EL ROSAL @ CAMINO LA FARFANA,1,0,0,0
-70.774455208341067,-33.539669723578697,52,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190392,CAMINO A MELIPILLA,131191450,JACQUES COSTEAU, ,CAMINO A MELIPILLA - JACQUES COSTEAU,CAMINO A MELIPILLA @ JACQUES COSTEAU,0,0,0,1
-70.774314469836781,-33.491958560339114,53,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,14,CRUCE CON SEÑAL PARE,131190402,CAMINO DEL ORO,131191384,ING EDUARDO DOMINGUEZ, ,CAMINO DEL ORO - ING EDUARDO DOMINGUEZ,CAMINO DEL ORO @ ING EDUARDO DOMINGUEZ
-70.772905099990226,-33.492087100439178,54,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131191384,ING EDUARDO DOMINGUEZ, , ,441,- ING EDUARDO DOMINGUEZ,441 ING EDUARDO DOMINGUEZ,0,0,1,0
-70.77269752297218,-33.488113069162637,55,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131190976,EL ROSAL,131192626,PROVINCIAS UNIDAS, ,EL ROSAL - PROVINCIAS UNIDAS,EL ROSAL @ PROVINCIAS UNIDAS,0,0,0,1
-70.772249794592199,-33.48787552223741,56,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190976,EL ROSAL,131190617,COMBATE YERBAS BUENAS, ,COMBATE YERBAS BUENAS - EL ROSAL,EL ROSAL @ COMBATE YERBAS BUENAS,0,0,1,1
