X,Y,FID,ICOUNT,Año,Cód_Comuna,Comuna,Cód_Región,Región,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.691843548141208,-33.58515116709264,42,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SANTA MARTA,TEMUCO,0,SANTA MARTA / TEMUCO,0,0,0,1,1
-70.69137826409559,-33.591269245978886,43,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,RAYEN QUITRAL, ,14716,RAYEN QUITRAL 14716,0,0,0,1,1
-70.708375587463365,-33.571294218753181,44,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,COSTA BELLA, ,1549,COSTA BELLA 1549,0,1,0,0,1
-70.706231846522485,-33.584881423538832,45,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,BALMACEDA,AMERICA,0,BALMACEDA / AMERICA,0,0,1,0,1
-70.705247262451167,-33.582710542857228,46,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,AMERICA,ISABEL RIQUELME,0,AMERICA / ISABEL RIQUELME,0,1,0,0,1
-70.702205920766573,-33.579416048311941,47,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,URMENETA, ,575,URMENETA 575,0,0,0,4,1
-70.701724900383795,-33.582622099929957,48,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,EYZAGUIRRE, ,300,EYZAGUIRRE 300,0,0,0,1,1
-70.701699576374324,-33.582651442110325,49,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,EYZAGUIRRE, ,300,EYZAGUIRRE 300,0,0,0,1,1
-70.698479786712767,-33.57382086673956,50,1,2013,13105,EL BOSQUE,13,REGION METROPOLITANA,LO BLANCO, ,1724,LO BLANCO 1724,0,0,0,1,1
-70.695827891044303,-33.583175785534038,51,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,FONTECILLA,SANTA MARTA,0,FONTECILLA / SANTA MARTA,0,0,0,1,1
-70.692154134405712,-33.576345363547652,52,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,GRAN AVENIDA JOSE MIGUEL CARRERA,LO BLANCO,0,GRAN AVENIDA JOSE MIGUEL CARRERA / LO BLANCO,0,0,0,1,1
-70.690163314185554,-33.580793111812632,53,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,CALDERON DE LA BARCA,ALONSO DE MONROY,0,CALDERON DE LA BARCA / ALONSO DE MONROY,0,0,0,0,1
-70.689774675760646,-33.591446944820575,54,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SILVIA PINTO,PEDRO SANCHO DE LA HOZ,0,SILVIA PINTO / PEDRO SANCHO DE LA HOZ,0,0,0,1,1
